Название вакансии;Название компании;Зарплата;Ссылка на вакансию
Программист 1С;ООО Headwise LLC;до 200 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/119255811?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C++ Developer (UI);;Опыт 1-3 года;https://tomsk.hh.ru/vacancy/118580562?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист станков с ЧПУ;ООО СИНЕКТА;100 000 – 150 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/119406712?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Веб-разработчик;;от 100 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/119305925?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик мобильных приложений под iOS и Android;АО Научно-производственная фирма Микран;Опыт 1-3 года;https://tomsk.hh.ru/vacancy/118287701?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик;;80 000 – 200 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
SQL developer, BI developer ( удаленно);Интегра, Группа компаний;от 172 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/118933491?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
SQL developer / BI developer;;от 172 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/118933510?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1C;НПЦ Динамика;Опыт 3-6 лет;https://tomsk.hh.ru/vacancy/119255764?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик middle (PHP);;до 250 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/119421061?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (Oracle);ООО Стройпарк;Опыт 1-3 года;https://tomsk.hh.ru/vacancy/117811944?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle frontend-разработчик;;от 60 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/119374920?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
